"source","psq_entity_key","id","name","vat_number","kvk_number","country","last_trx_date","activity_detail_status","merchant_activity_status","type_of_activity","contracting_method","legal_form","mcc","vintage_date","contract_status","active_contracts","contract_category_descriptions"
"Way4","Way4:2001190603","2001190603","DOSA","-1","-1","NL","","Never transacted","Inactive","CP","F2F","","","","Active","",""
"Way4","Way4:2002700452","2002700452","Aksyon","NL855716204B01","64552233","NL","","Never transacted","Inactive","CP","F2F","","","2023-12-29","Active","",""
"Way4","Way4:2002554374","2002554374","BERGMAN BEAUTY CLINICS","-1","1094523","NL","","Never transacted","Inactive","CP","F2F","","","2023-10-16","Active","",""
"Way4","Way4:2001277695","2001277695","C.I.R. SOEN LIE","NL821669679B01","30230271","NL","2025-05-30","Active in last 12 months","Active","CP","F2F","","5812","2023-12-27","Active","",""
"Way4","Way4:2001514611","2001514611","DE HOOFDWACHT","-1","23082406","NL","2024-09-09","Inactive >12 months","Inactive","CP","F2F","","5812","2024-01-04","Active","",""
"Way4","Way4:2001539843","2001539843","PERSONALITY","-1","33121098","NL","","Never transacted","Inactive","CP","F2F","","","","Active","",""
"Way4","Way4:2001257651","2001257651","CANDI BOROBUDUR","-1","32105278","NL","2026-05-10","Active in last 12 months","Active","CP","F2F","","5812","2023-12-29","Active","",""
"Way4","Way4:2001407181","2001407181","DE HEEREN VAN OVERLOON","-1","16034392","NL","","Never transacted","Inactive","CP","F2F","","","","Active","",""
"Way4","Way4:2001491255","2001491255","LIGNANO'S","-1","-1","NL","","Never transacted","Inactive","CP","F2F","","","","Active","",""
"Way4","Way4:2002507112","2002507112","W.Burgerhout B.V.","-1","24198594","NL","2024-02-18","Inactive >12 months","Inactive","CP","F2F","","5641","2023-12-28","Active","",""
"Way4","Way4:2002512167","2002512167","Golfclub Anderstein","-1","40480577","NL","2026-05-11","Active in last 12 months","Active","CP","F2F","","7992","2024-01-29","Active","",""
"Way4","Way4:2002604657","2002604657","Gasterij Rubens","-1","59405201","NL","2026-05-08","Active in last 12 months","Active","CP","F2F","","5812","2023-12-29","Active","",""
"Way4","Way4:2002609829","2002609829","Beauty by Technology","-1","27337378","NL","","Never transacted","Inactive","CP","F2F","","","","Active","",""
"Way4","Way4:2001190964","2001190964","V.O.F. BOLDER JUWELIERS","NL162364222B01","09094978","NL","2024-04-17","Inactive >12 months","Inactive","CP","F2F","","5944","2024-02-24","Active","",""
