source,psq_entity_key,id,name,vat_number,kvk_number,country,last_trx_date,activity_detail_status,merchant_activity_status,type_of_activity,contracting_method,legal_form,mcc,vintage_date,contract_status,active_contracts,contract_category_descriptions
PASS,PASS:2001190603-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001190603-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000000,70000000,AT,2025-01-03,Inactive >12 months,Inactive,CNP,NF2F,,4900,2021-02-01,ActiveBO,,Hospitality terminals
Way4,Way4:2002700452-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002700452-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000001,70000001,NL,2025-01-08,Never transacted,Active,CP+CNP,F2F+NF2F,,5411,2021-02-18,Entered,,Digital commerce
PASS,PASS:2002554374-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002554374-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000002,70000002,BE,2025-01-13,Active in last 12 months,Inactive,CP,F2F,,5812,2021-03-07,Terminated,,Travel services
Way4,Way4:2001277695-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001277695-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000003,70000003,FR,2025-01-18,Inactive >12 months,Active,CNP,NF2F,,5999,2021-03-24,Active,,Public sector
PASS,PASS:2001514611-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001514611-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000004,70000004,LU,2025-01-23,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5732,2021-04-10,Cancelled,,Mobility services
Way4,Way4:2001539843-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001539843-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000005,70000005,ES,2025-01-28,Active in last 12 months,Active,CP,F2F,,7011,2021-04-27,ActiveBO,,Retail payments
PASS,PASS:2001257651-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001257651-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000006,70000006,DE,2025-02-02,Inactive >12 months,Inactive,CNP,NF2F,,7999,2021-05-14,Entered,,Hospitality terminals
Way4,Way4:2001407181-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001407181-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000007,70000007,GB,2025-02-07,Never transacted,Active,CP+CNP,F2F+NF2F,,4121,2021-05-31,Terminated,,Digital commerce
PASS,PASS:2001491255-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001491255-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000008,70000008,AT,2025-02-12,Active in last 12 months,Inactive,CP,F2F,,4900,2021-06-17,Active,,Travel services
Way4,Way4:2002507112-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002507112-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000009,70000009,NL,2025-02-17,Inactive >12 months,Active,CNP,NF2F,,5411,2021-07-04,Cancelled,,Public sector
PASS,PASS:2002512167-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002512167-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000010,70000010,BE,2025-02-22,Never transacted,Inactive,CP+CNP,F2F+NF2F,,5812,2021-07-21,ActiveBO,,Mobility services
Way4,Way4:2002604657-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002604657-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000011,70000011,FR,2025-02-27,Active in last 12 months,Active,CP,F2F,,5999,2021-08-07,Entered,,Retail payments
PASS,PASS:2002609829-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2002609829-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000012,70000012,LU,2025-03-04,Inactive >12 months,Inactive,CNP,NF2F,,5732,2021-08-24,Terminated,,Hospitality terminals
Way4,Way4:2001190964-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001190964-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000013,70000013,ES,2025-03-09,Never transacted,Active,CP+CNP,F2F+NF2F,,7011,2021-09-10,Active,,Digital commerce
PASS,PASS:2001265182-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001265182-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000014,70000014,DE,2025-03-14,Active in last 12 months,Inactive,CP,F2F,,7999,2021-09-27,Cancelled,,Travel services
Way4,Way4:2001473842-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,2001473842-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01-B01,,VAT800000015,70000015,GB,2025-03-19,Inactive >12 months,Active,CNP,NF2F,,4121,2021-10-14,ActiveBO,,Public sector
